exper_data_id	pop_label	data_group_name	data_id	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward
B208-20180615_135713_proc	PB250L495	B208	PB250L495_NGM_B208	20180615	135713	1722.308	139.87545620438	13588	1103.53531360541	3.04278623533055	26.8	41	Paris2	NGM	-0.659677311032163	-1.32996488907936	-2.24589590912317	-4.27215278054873	-0.656368707704214	-1.33178589650271	-2.26296311109376	1.8305814185452	-3.08018890436298
B208-20180615_142625_proc	PB250L497	B208	PB250L497_NGM_B208	20180615	142625	1186.219	122.781658014787	20575	2129.65111303582	3.32830846161061	26.8	41	Paris2	NGM	-0.861273739282978	-1.9087900536849	-2.7303072610158	-5.21991272596768	-0.878320848711284	-2.26778338646082	-2.73510199213771	2.38338773291147	-3.72633395676942
B208-20180615_144637_proc	PB250L487	B208	PB250L487_NGM_B208	20180615	144637	1206.951	122.825636942675	14920	1518.33711822991	3.18136820919593	27	42	Paris2	NGM	-0.530371850671828	-1.74366711690843	-2.70994712941865	-5.61884490810578	-0.79638815703383	-1.87870963894854	-2.95613146850392	2.62925710987818	-4.00879439108686
B208-20180615_150714_proc	N2ancL0	B208	N2ancL0_NGM_B208	20180615	150714	1199.148	248.412671806906	6704	1388.78483039082	3.14263496408707	27.1	41	Paris2	NGM	-1.24608833601068	-1.99900149194408	-1.27095689594379	-4.84526542037899	-0.439051449303872	-2.20064662854818	-0.778365158559762	0.484705399734343	-2.64223378836866
B208-20180615_161045_proc	PB250L407	B208	PB250L407_NGM_B208	20180615	161045	1170.395	138.963396289487	21912	2601.65665394609	3.41524998125879	27.5	41	Paris2	NGM	-0.991932714574485	-2.25370644740787	-2.50870344132284	-4.88735418316312	-1.05101150099925	-2.22551499671109	-2.29683217479303	1.92082712422139	-3.27657229571806
B208-20180615_163048_proc	N2250L581	B208	N2250L581_NGM_B208	20180615	163048	1150.733	145.982946793997	11420	1448.75071140521	3.16099366223086	27.5	41	Paris2	NGM	-0.66413678157164	-1.45286293131559	-2.79326500470602	-4.52624963291745	-0.887443854952106	-1.16122787047424	-2.89923126061632	2.44291259059851	-3.5557543596004
B208-20180615_170949_proc	PB250L466	B208	PB250L466_NGM_B208	20180615	170949	1155.112	133.780320968166	12024	1392.57022636873	3.14381710557315	27.8	39	Paris2	NGM	-0.263000144231243	-1.18571148708179	-2.13781729253374	-3.75538949617777	-0.789516530130299	-1.29752210523864	-2.35388439836618	1.73740344556867	-2.701489334965
B208-20180615_172928_proc	PB250L474	B208	PB250L474_NGM_B208	20180615	172928	1148.155	159.41651959054	10457	1451.91071358682	3.16193990989794	28	39	Paris2	NGM	-0.895353451567454	-1.42966360312221	-1.76633751028855	-4.15660914370155	-0.383089137469432	-1.4649746784865	-1.6526275804596	1.29261436075173	-2.850480378537
B208-20180615_174915_proc	N2250L525	B208	N2250L525_NGM_B208	20180615	174915	1296.327	329.919488817891	3032	771.65398089822	2.88742260101722	28	39	Paris2	NGM	-1.50023956513928	-2.28234854751452	-1.71040742924419	-5.42662344877457	-0.151255038842812	-3.37306855304849	-1.0712014016059	0.87980339475796	-3.23022958840407
B209-20180618_094312_proc	PB250L418	B209	PB250L418_NGM_B209	20180618	94312	1198.409	622.056724611162	2927	1519.31438510297	3.18164764982597	27.4	46	Paris2	NGM	-1.80109678180953	-2.26245097689705	-0.685777447621365	-5.30277077566831	0.0242263848333034	-4.10122100402178	0.201959890210037	-0.485883903181959	-2.60500108398559
